Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population,population size,median age,median household income,NeverMarried Unemployed Male,NeverMarried Unemployed Female,Unemployed Male below line,Unemployed Female below line,4.00 of poverty threshold 65 years and over No health insurance coverage,MEDIAN HOUSEHOLD INCOME Living Alone 65 and over,MEDIAN HOUSEHOLD INCOME Not Living Alone 65 and over,Male Living alone,Female Living alone,Never Married Percentage,Unemployed Below Line,No Insurance Over 65 Below Line,Living Alone Percentage
Alaska,All Types of Cancer,2017,Male and Female,All Races,139.8,926,739786,738565,33.9,76114,10535,5475,4418,3161,494,33293,66908,35623,28721,0.021677171271316700,0.010261791446927500,0.0006688646226127690,0.08712029408379760
Oregon,All Types of Cancer,2017,Male and Female,All Races,154.1,8083,4146592,4025127,39.2,56119,43276,28696,24537,23727,670,28098,49159,192098,243275,0.017880678050655300,0.011990677561229700,0.00016645437522840900,0.10816379209898200
Virginia,All Types of Cancer,2017,Male and Female,All Races,152.5,15064,8465207,8365952,38.0,68766,75992,55828,30703,36068,3328,32555,67213,355685,475527,0.015756724399088100,0.007981279357089310,0.0003978029039611990,0.09935653467770320
Mississippi,All Types of Cancer,2017,Male and Female,All Races,182.8,6526,2989663,2986220,36.9,42009,37752,33752,22463,27887,342,20418,37002,138810,171892,0.023944652436860000,0.016860780518515000,0.00011452605635217800,0.10404524783840400
West Virginia,All Types of Cancer,2017,Male and Female,All Races,178.6,4654,1817048,1836843,42.2,44061,18965,10544,12053,10048,27,24550,39622,97487,119189,0.016065063807848600,0.012032057176361800,1.46991332411099E-05,0.11796108867224900
Rhode Island,All Types of Cancer,2017,Male and Female,All Races,154.0,2154,1056486,1056138,39.9,61043,12027,9883,5632,6546,148,25032,69375,53830,72181,0.020745395014666600,0.01153069011814740,0.00014013320228985200,0.11931300644423400
Minnesota,All Types of Cancer,2017,Male and Female,All Races,147.1,9896,5568155,5490726,37.9,65699,45690,27671,19195,16797,598,28707,64711,278041,331316,0.013360892530423100,0.0065550530112047100,0.00010891091633419700,0.11097931311815600
Maryland,All Types of Cancer,2017,Male and Female,All Races,151.8,10796,6024891,5996079,38.5,78916,65309,50928,22503,26373,3071,34067,68729,242715,345361,0.019385501758732700,0.008151326892124000,0.0005121680351443000,0.09807675982921510
Washington,All Types of Cancer,2017,Male and Female,All Races,148.4,12664,7425432,7169967,37.6,66174,71307,45120,34984,29406,2142,31498,64387,344610,401232,0.016238150050063000,0.00898051553096409,0.00029874614485673400,0.10402307290954100
Hawaii,All Types of Cancer,2017,Male and Female,All Races,128.5,2456,1424203,1421658,38.8,74923,11153,6863,4267,3949,591,31520,69819,52768,55960,0.01267252742924110,0.005779167704187650,0.00041571179566393600,0.076479715937307
District of Columbia,All Types of Cancer,2017,Male and Female,All Races,152.5,1031,695691,672391,33.9,77649,11067,10626,5309,7286,154,30620,133152,51828,69298,0.03226247823067230,0.018731660596290000,0.00022903340467079400,0.18014220892308200
Missouri,All Types of Cancer,2017,Male and Female,All Races,167.1,12971,6108612,6075300,38.4,51542,55315,40234,29289,32570,847,26545,48986,307812,389093,0.01572745378829030,0.010182048623113300,0.0001394169835234470,0.11471120767698700
North Dakota,All Types of Cancer,2017,Male and Female,All Races,142.2,1280,755176,745475,35.1,61285,4216,2478,2099,1400,58,27257,51667,50272,46681,0.00897950970857507,0.004693651698581440,7.78027432174117E-05,0.13005533384754700
Tennessee,All Types of Cancer,2017,Male and Female,All Races,173.5,14302,6708794,6597381,38.6,48708,62875,50292,37735,41814,1305,24719,49980,315717,399545,0.017153321901524300,0.012057663487981100,0.00019780576565155200,0.10841605176357100
Nebraska,All Types of Cancer,2017,Male and Female,All Races,152.9,3502,1917575,1893921,36.3,56675,12656,9500,6075,6283,217,27087,55441,102095,114680,0.011698481615653500,0.006525087371648550,0.00011457711277291900,0.11445831161912200
Oklahoma,All Types of Cancer,2017,Male and Female,All Races,176.7,8203,3932640,3896251,36.3,49767,32038,22159,18549,18209,801,25487,46847,189194,224816,0.013910038136660100,0.009434197129497050,0.00020558223789997100,0.10625855469783600
Arkansas,All Types of Cancer,2017,Male and Female,All Races,173.3,6516,3002997,2977944,37.9,43813,25507,17932,15981,16880,594,22257,44424,147608,179244,0.014586909626238800,0.011034794475651700,0.00019946647754289500,0.10975760457550600
Iowa,All Types of Cancer,2017,Male and Female,All Races,157.8,6449,3143637,3118102,38.1,56570,23006,14789,10636,11287,306,26930,53056,165327,197253,0.012121155754366000,0.007030879682576130,9.8136622855827E-05,0.11628227684662000
Florida,All Types of Cancer,2017,Male and Female,All Races,145.3,45129,20976812,20278447,41.8,50883,210344,153664,116958,124970,13555,26794,52785,932063,1226856,0.017950487036803200,0.011930302157754000,0.0006684436929514380,0.10646372476156600
Wisconsin,All Types of Cancer,2017,Male and Female,All Races,153.3,11318,5792051,5763217,39.2,56759,48839,33143,25184,22857,616,26475,52848,311542,364038,0.014225041326745100,0.008335795789053230,0.00010688474857011300,0.11722272473863100
Kansas,All Types of Cancer,2017,Male and Female,All Races,157.1,5493,2910689,2903820,36.3,55477,22616,15902,10871,11296,469,28839,58682,147850,174406,0.013264596290403700,0.007633737628365390,0.00016151138844694200,0.11097657568306600
North Carolina,All Types of Cancer,2017,Male and Female,All Races,157.2,19474,10270800,10052564,38.4,50320,108201,85413,59486,69382,1809,24281,51928,468813,626536,0.01926016089029630,0.012819416021623900,0.00017995408932487300,0.10896215134765600
South Dakota,All Types of Cancer,2017,Male and Female,All Races,157.4,1715,873286,855444,36.8,54126,6096,4403,3559,3193,82,27881,52946,49505,52250,0.01227315873394400,0.007892977214171820,9.58566545559967E-05,0.11894992541884700
Pennsylvania,All Types of Cancer,2017,Male and Female,All Races,160.6,28385,12790447,12790505,40.7,56951,145170,101702,63989,64401,2289,26628,53485,643011,841858,0.019301192564328000,0.010037914843862700,0.0001789608776197660,0.11609150694206400
Kentucky,All Types of Cancer,2017,Male and Female,All Races,186.0,10145,4453874,4424376,38.6,46535,43158,30049,28228,27079,593,23453,42422,218410,270988,0.016546288109328900,0.012500519847318600,0.00013403019996492200,0.11061401653024100
Alabama,All Types of Cancer,2017,Male and Female,All Races,169.5,10410,4875120,4850771,38.7,46472,52588,41989,28358,34852,759,24303,46155,238517,304611,0.019497312901392400,0.013030918177749500,0.00015646997147463800,0.11196735529259200
Maine,All Types of Cancer,2017,Male and Female,All Races,169.7,3391,1335063,1330158,44.3,53024,11967,7532,6138,5288,106,25238,52826,68516,92604,0.014659160791424800,0.008589956982553950,7.9689781213961E-05,0.1211284674452210
South Carolina,All Types of Cancer,2017,Male and Female,All Races,162.6,10356,5021219,4893444,39.0,48781,54886,44436,28529,33509,759,24886,48209,231009,301873,0.0202969524122479,0.012677778676940000,0.00015510548399041700,0.10889712848456000
Louisiana,All Types of Cancer,2017,Male and Female,All Races,174.7,9512,4670818,4663461,36.4,46710,56484,41259,27242,33119,1037,22761,42376,236519,283143,0.02095932613138610,0.012943391185216300,0.00022236703598464700,0.11143268915511500
Vermont,All Types of Cancer,2017,Male and Female,All Races,164.4,1434,624525,624636,42.8,57808,4879,3798,2040,2416,22,26104,68202,33045,43524,0.013891290287463400,0.007133754698736540,3.52205124264372E-05,0.12258179163544800
Arizona,All Types of Cancer,2017,Male and Female,All Races,134.9,12008,7048876,6809946,37.2,53510,72421,51529,40770,38824,2140,27612,56741,317956,361097,0.018201319070665200,0.011687904720536700,0.0003142462509981720,0.0997148876070383
Ohio,All Types of Cancer,2017,Male and Female,All Races,171.1,25643,11664129,11609756,39.3,52407,127220,94246,69735,70044,2542,26998,53146,629985,761148,0.019075853101477800,0.012039787916300700,0.0002189537833525530,0.1198244820993650
New Jersey,All Types of Cancer,2017,Male and Female,All Races,145.7,16264,8888543,8960161,39.6,76475,100719,75126,35390,41289,5222,30782,66559,341187,481259,0.019625205395304800,0.008557770334707160,0.0005828020277760630,0.0917891988771184
Delaware,All Types of Cancer,2017,Male and Female,All Races,160.9,2085,957078,943732,39.8,63036,10317,6914,3745,4109,422,31127,57340,39840,54821,0.01825836148398060,0.008322277934837430,0.00044716084651151000,0.10030495945882900
New Hampshire,All Types of Cancer,2017,Male and Female,All Races,153.2,2760,1349767,1331848,42.7,71305,10826,6780,4118,3621,156,29435,57850,60473,74063,0.01321922621800690,0.00581072314558418,0.00011713048335846100,0.1010145301866280
New York,All Types of Cancer,2017,Male and Female,All Races,142.0,34956,19590719,19798228,38.4,62765,235709,170807,103399,105175,7232,28069,63402,921629,1249943,0.020532948706318600,0.010534983231832700,0.0003652852164345210,0.10968516980408500
Illinois,All Types of Cancer,2017,Male and Female,All Races,158.3,24150,12786196,12854526,37.7,61229,162438,123572,76943,81812,4889,28095,56783,624330,782761,0.022249750788166000,0.012350124773173300,0.00038033296599190000,0.10946269041736700
Indiana,All Types of Cancer,2017,Male and Female,All Races,170.4,13462,6660082,6614418,37.5,52182,64770,47620,33203,37770,1301,27956,54029,326826,391105,0.016991668805932700,0.010730044578374100,0.00019669153053224000,0.108540312995036
Massachusetts,All Types of Cancer,2017,Male and Female,All Races,149.4,12934,6863246,6789319,39.4,74167,75007,52527,27632,29162,1080,27784,69966,307537,428516,0.018784505485749000,0.008365198335797740,0.00015907339160230900,0.1084133769528280
Michigan,All Types of Cancer,2017,Male and Female,All Races,161.2,20671,9976447,9925568,39.6,52668,122940,92610,68102,65821,1354,29069,51299,519566,615296,0.021716641304558100,0.013492729081096400,0.00013641536685860200,0.11433723490685900
Connecticut,All Types of Cancer,2017,Male and Female,All Races,139.8,6608,3573880,3594478,40.8,73781,46584,32914,16809,19398,775,32924,68633,161430,221845,0.022116702341758700,0.01007295078729100,0.0002156084972560690,0.10662883456234800
