STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,County,County Name,lat,lng,Ratings
AK,AK: Kodiak Island Borough (02150) - 1990+,131.2,213.5,169.0,85,Mortality,68988,All Races,Male and Female,All Cancer Sites Combined,2013-2017,98.4,152.4,123.2, Kodiak Island Borough (02150) - 1990+, Kodiak Island Borough ,57.53693430000001,-153.2659352,1.69
AK,AK: Lake and Peninsula Borough (02164) - 1994+,169.4,472.9,295.4,19,Mortality,8107,All Races,Male and Female,All Cancer Sites Combined,2013-2017,141.1,366.0,234.4, Lake and Peninsula Borough (02164) - 1994+, Lake and Peninsula Borough ,58.0458356,-156.5982286,2.9539999999999997
AK,AK: Matanuska-Susitna Borough (02170) - 1990+,155.6,183.2,169.0,706,Mortality,505589,All Races,Male and Female,All Cancer Sites Combined,2013-2017,129.5,150.3,139.6, Matanuska-Susitna Borough (02170) - 1990+, Matanuska-Susitna Borough ,62.2599347,-150.1729153,1.69
AK,AK: Nome Census Area (02180) - 1990+,178.3,302.2,235.0,73,Mortality,49462,All Races,Male and Female,All Cancer Sites Combined,2013-2017,115.7,185.6,147.6, Nome Census Area (02180) - 1990+, Nome Census Area ,64.8329974,-164.256602,2.35
AK,AK: North Slope Borough (02185) - 1990+,181.1,325.0,246.5,66,Mortality,48899,All Races,Male and Female,All Cancer Sites Combined,2013-2017,104.4,171.7,135.0, North Slope Borough (02185) - 1990+, North Slope Borough ,69.05787579999999,-152.8628274,2.465
AK,AK: Northwest Arctic Borough (02188) - 1990+,86.9,181.1,128.2,34,Mortality,38723,All Races,Male and Female,All Cancer Sites Combined,2013-2017,60.8,122.7,87.8, Northwest Arctic Borough (02188) - 1990+, Northwest Arctic Borough ,67.2872981,-160.0342624,1.2819999999999998
AK,AK: Petersburg Census Area (02195) - 2015+,62.8,179.5,109.4,18,Mortality,13053,All Races,Male and Female,All Cancer Sites Combined,2013-2017,81.7,217.9,137.9, Petersburg Census Area (02195) - 2015+, Petersburg Census Area ,56.8124267,-132.9554472,1.094
AK,AK: Prince of Wales-Hyder Census Area (02198) - 2015+,110.1,225.9,160.7,45,Mortality,25950,All Races,Male and Female,All Cancer Sites Combined,2013-2017,126.5,232.0,173.4, Prince of Wales-Hyder Census Area (02198) - 2015+, Prince of Wales-Hyder Census Area ,55.3242244,-132.6044581,1.607
AK,AK: Sitka City and Borough (02220) - 1990+,109.5,180.2,141.5,72,Mortality,44014,All Races,Male and Female,All Cancer Sites Combined,2013-2017,128.0,206.0,163.6, Sitka City and Borough (02220) - 1990+, Sitka City and Borough ,57.0530556,-135.33,1.415
AK,AK: Southeast Fairbanks Census Area (02240) - 1990+,140.6,248.1,189.0,60,Mortality,34444,All Races,Male and Female,All Cancer Sites Combined,2013-2017,132.9,224.2,174.2, Southeast Fairbanks Census Area (02240) - 1990+, Southeast Fairbanks Census Area ,63.9603869,-143.6296999,1.89
AK,AK: Valdez-Cordova Census Area (02261) - 1990+,120.1,206.7,159.3,72,Mortality,47115,All Races,Male and Female,All Cancer Sites Combined,2013-2017,119.6,192.4,152.8, Valdez-Cordova Census Area (02261) - 1990+, Valdez-Cordova Census Area ,61.4787707,-144.1147195,1.5930000000000002
AK,AK: Wade Hampton Census Area (02270) - 1990+,164.6,316.9,232.9,46,Mortality,40661,All Races,Male and Female,All Cancer Sites Combined,2013-2017,82.8,150.9,113.1, Wade Hampton Census Area (02270) - 1990+, Wade Hampton Census Area ,62.1458336,-162.891919,2.329
AK,AK: Wrangell Borough (02275) - 2015+,100.4,245.0,158.4,24,Mortality,9918,All Races,Male and Female,All Cancer Sites Combined,2013-2017,155.0,360.1,242.0, Wrangell Borough (02275) - 2015+, Wrangell Borough ,56.4708333,-132.3766666,1.584
AK,AK: Wrangell-Petersburg Census Area (02280) - 1990-2014,137.4,375.2,232.3,19,Mortality,6162,All Races,Male and Female,All Cancer Sites Combined,2013-2017,185.6,481.5,308.3, Wrangell-Petersburg Census Area (02280) - 1990-2014, Wrangell-Petersburg Census Area ,56.8124267,-132.9554472,2.323
AK,AK: Yukon-Koyukuk Census Area (02290) - 1990+,217.1,351.0,278.2,78,Mortality,27313,All Races,Male and Female,All Cancer Sites Combined,2013-2017,225.7,356.4,285.6, Yukon-Koyukuk Census Area (02290) - 1990+, Yukon-Koyukuk Census Area ,65.8443666,-153.4302993,2.782
AL,AL: Autauga County (01001),163.6,194.0,178.3,556,Mortality,275112,All Races,Male and Female,All Cancer Sites Combined,2013-2017,185.6,219.6,202.1, Autauga County (01001), Autauga County ,32.5791817,-86.49965460000001,1.7830000000000001
AL,AL: Baldwin County (01003),158.5,172.3,165.3,2331,Mortality,1017401,All Races,Male and Female,All Cancer Sites Combined,2013-2017,219.9,238.6,229.1, Baldwin County (01003), Baldwin County ,30.6010744,-87.77633329999999,1.653
AL,AL: Barbour County (01005),159.1,201.3,179.2,301,Mortality,130973,All Races,Male and Female,All Cancer Sites Combined,2013-2017,204.6,257.3,229.8, Barbour County (01005), Barbour County ,31.8172896,-85.35496499999999,1.7919999999999998
AL,AL: Bibb County (01007),166.0,214.5,189.0,251,Mortality,112750,All Races,Male and Female,All Cancer Sites Combined,2013-2017,195.9,251.9,222.6, Bibb County (01007), Bibb County ,32.9562798,-87.14228949999999,1.89
AL,AL: Blount County (01009),161.9,189.6,175.3,653,Mortality,287998,All Races,Male and Female,All Cancer Sites Combined,2013-2017,209.7,244.8,226.7, Blount County (01009), Blount County ,34.0145152,-86.49965460000001,1.7530000000000001
AL,AL: Bullock County (01011),191.5,269.3,227.7,143,Mortality,52173,All Races,Male and Female,All Cancer Sites Combined,2013-2017,231.0,322.9,274.1, Bullock County (01011), Bullock County ,32.0573536,-85.7256372,2.2769999999999997
AL,AL: Butler County (01013),149.0,194.1,170.3,244,Mortality,100820,All Races,Male and Female,All Cancer Sites Combined,2013-2017,212.6,274.4,242.0, Butler County (01013), Butler County ,31.6760284,-86.6611083,1.703
AL,AL: Calhoun County (01015),169.8,189.8,179.6,1309,Mortality,577754,All Races,Male and Female,All Cancer Sites Combined,2013-2017,214.5,239.2,226.6, Calhoun County (01015), Calhoun County ,33.7701576,-85.80766,1.796
AL,AL: Chambers County (01017),173.4,209.9,190.9,452,Mortality,169659,All Races,Male and Female,All Cancer Sites Combined,2013-2017,242.4,292.1,266.4, Chambers County (01017), Chambers County ,32.9028048,-85.35496499999999,1.909
AL,AL: Cherokee County (01019),181.5,224.1,201.8,390,Mortality,129257,All Races,Male and Female,All Cancer Sites Combined,2013-2017,272.5,333.2,301.7, Cherokee County (01019), Cherokee County ,34.1665322,-85.684578,2.0180000000000002
AL,AL: Chilton County (01021),164.2,197.8,180.4,476,Mortality,219133,All Races,Male and Female,All Cancer Sites Combined,2013-2017,198.1,237.6,217.2, Chilton County (01021), Chilton County ,32.944392,-86.6611083,1.804
AL,AL: Choctaw County (01023),122.5,172.7,145.7,149,Mortality,65930,All Races,Male and Female,All Cancer Sites Combined,2013-2017,191.2,265.3,226.0, Choctaw County (01023), Choctaw County ,32.0716631,-88.24611829999999,1.4569999999999999
AL,AL: Clarke County (01025),141.4,180.7,160.0,274,Mortality,123136,All Races,Male and Female,All Cancer Sites Combined,2013-2017,196.9,250.5,222.5, Clarke County (01025), Clarke County ,31.7002461,-87.77633329999999,1.6
AL,AL: Clay County (01027),136.7,189.5,161.2,158,Mortality,67017,All Races,Male and Female,All Cancer Sites Combined,2013-2017,200.4,275.5,235.8, Clay County (01027), Clay County ,33.279527,-85.84862360000001,1.6119999999999999
AL,AL: Cleburne County (01029),144.6,196.5,168.9,179,Mortality,74677,All Races,Male and Female,All Cancer Sites Combined,2013-2017,205.9,277.5,239.7, Cleburne County (01029), Cleburne County ,33.6261707,-85.52002399999999,1.689
AL,AL: Coffee County (01031),153.8,183.2,168.0,529,Mortality,255206,All Races,Male and Female,All Cancer Sites Combined,2013-2017,190.0,225.7,207.3, Coffee County (01031), Coffee County ,31.4751172,-86.0121573,1.68
AL,AL: Colbert County (01033),160.5,187.5,173.5,681,Mortality,272247,All Races,Male and Female,All Cancer Sites Combined,2013-2017,231.7,269.7,250.1, Colbert County (01033), Colbert County ,34.7117567,-87.89424509999999,1.735
AL,AL: Conecuh County (01035),146.3,202.1,172.3,168,Mortality,63206,All Races,Male and Female,All Cancer Sites Combined,2013-2017,227.1,309.2,265.8, Conecuh County (01035), Conecuh County ,31.501571,-86.9824288,1.723
AL,AL: Coosa County (01037),141.9,201.2,169.2,147,Mortality,54815,All Races,Male and Female,All Cancer Sites Combined,2013-2017,226.6,315.2,268.2, Coosa County (01037), Coosa County ,32.8897772,-86.2196937,1.692
AL,AL: Covington County (01039),176.4,210.6,192.8,535,Mortality,187579,All Races,Male and Female,All Cancer Sites Combined,2013-2017,261.6,310.4,285.2, Covington County (01039), Covington County ,31.3066438,-86.49965460000001,1.9280000000000002
AL,AL: Crenshaw County (01041),182.0,243.9,211.1,198,Mortality,69353,All Races,Male and Female,All Cancer Sites Combined,2013-2017,247.1,328.2,285.5, Crenshaw County (01041), Crenshaw County ,31.6671872,-86.3376761,2.1109999999999998
AL,AL: Cullman County (01043),166.9,190.1,178.2,964,Mortality,408811,All Races,Male and Female,All Cancer Sites Combined,2013-2017,221.2,251.2,235.8, Cullman County (01043), Cullman County ,34.2011537,-86.8220341,1.7819999999999998
AL,AL: Dale County (01045),164.2,195.2,179.2,540,Mortality,247093,All Races,Male and Female,All Cancer Sites Combined,2013-2017,200.5,237.8,218.5, Dale County (01045), Dale County ,31.4645298,-85.684578,1.7919999999999998
AL,AL: Dallas County (01047),191.9,229.1,209.8,531,Mortality,203820,All Races,Male and Female,All Cancer Sites Combined,2013-2017,238.8,283.7,260.5, Dallas County (01047), Dallas County ,32.2332138,-87.14228949999999,2.0980000000000003
AL,AL: DeKalb County (01049),148.4,172.8,160.2,701,Mortality,355527,All Races,Male and Female,All Cancer Sites Combined,2013-2017,182.8,212.3,197.2, DeKalb County (01049), DeKalb County ,34.5211397,-85.684578,1.6019999999999999
AL,AL: Elmore County (01051),167.1,193.0,179.7,791,Mortality,404740,All Races,Male and Female,All Cancer Sites Combined,2013-2017,182.1,209.5,195.4, Elmore County (01051), Elmore County ,32.5647083,-86.0121573,1.797
AL,AL: Escambia County (01053),181.9,218.3,199.4,488,Mortality,187653,All Races,Male and Female,All Cancer Sites Combined,2013-2017,237.5,284.2,260.1, Escambia County (01053), Escambia County ,31.1394734,-87.14228949999999,1.994
AL,AL: Etowah County (01055),178.3,199.4,188.6,1300,Mortality,516079,All Races,Male and Female,All Cancer Sites Combined,2013-2017,238.4,266.0,251.9, Etowah County (01055), Etowah County ,34.0455341,-86.05296039999999,1.886
AL,AL: Fayette County (01057),179.9,232.9,204.9,251,Mortality,83309,All Races,Male and Female,All Cancer Sites Combined,2013-2017,265.2,341.0,301.3, Fayette County (01057), Fayette County ,33.6871392,-87.77633329999999,2.049
AL,AL: Franklin County (01059),152.5,190.4,170.6,331,Mortality,157898,All Races,Male and Female,All Cancer Sites Combined,2013-2017,187.7,233.5,209.6, Franklin County (01059), Franklin County ,34.3967457,-87.6186379,1.706
AL,AL: Geneva County (01061),163.2,203.1,182.2,349,Mortality,132823,All Races,Male and Female,All Cancer Sites Combined,2013-2017,235.9,291.8,262.8, Geneva County (01061), Geneva County ,31.0990456,-85.684578,1.8219999999999998
AL,AL: Greene County (01063),125.6,194.1,156.8,97,Mortality,42644,All Races,Male and Female,All Cancer Sites Combined,2013-2017,184.5,277.5,227.5, Greene County (01063), Greene County ,32.9718107,-87.9334803,1.568
AL,AL: Hale County (01065),157.2,213.7,183.7,183,Mortality,74956,All Races,Male and Female,All Cancer Sites Combined,2013-2017,210.1,282.2,244.1, Hale County (01065), Hale County ,32.7859102,-87.6186379,1.837
AL,AL: Henry County (01067),164.6,215.3,188.5,241,Mortality,85543,All Races,Male and Female,All Cancer Sites Combined,2013-2017,247.3,319.6,281.7, Henry County (01067), Henry County ,31.4469377,-85.1894045,1.885
AL,AL: Houston County (01069),166.5,187.3,176.6,1161,Mortality,520674,All Races,Male and Female,All Cancer Sites Combined,2013-2017,210.3,236.2,223.0, Houston County (01069), Houston County ,31.1318686,-85.31362179999999,1.766
AL,AL: Jackson County (01071),185.7,216.1,200.5,727,Mortality,261693,All Races,Male and Female,All Cancer Sites Combined,2013-2017,258.0,298.8,277.8, Jackson County (01071), Jackson County ,34.7090388,-86.0121573,2.005
AL,AL: Jefferson County (01073),174.8,183.4,179.1,6943,Mortality,3299356,All Races,Male and Female,All Cancer Sites Combined,2013-2017,205.5,215.4,210.4, Jefferson County (01073), Jefferson County ,33.4914122,-86.9824288,1.791
AL,AL: Lamar County (01075),167.4,223.1,193.5,207,Mortality,70031,All Races,Male and Female,All Cancer Sites Combined,2013-2017,256.7,338.7,295.6, Lamar County (01075), Lamar County ,33.6923649,-88.0900762,1.935
AL,AL: Lauderdale County (01077),154.9,175.2,164.8,1063,Mortality,463244,All Races,Male and Female,All Cancer Sites Combined,2013-2017,215.9,243.7,229.5, Lauderdale County (01077), Lauderdale County ,34.8840876,-87.658113,1.6480000000000001
AL,AL: Lawrence County (01079),169.7,207.7,187.9,410,Mortality,166473,All Races,Male and Female,All Cancer Sites Combined,2013-2017,223.0,271.3,246.3, Lawrence County (01079), Lawrence County ,34.567428,-87.30161319999999,1.879
AL,AL: Lee County (01081),183.5,205.3,194.2,1298,Mortality,784323,All Races,Male and Female,All Cancer Sites Combined,2013-2017,156.6,174.7,165.5, Lee County (01081), Lee County ,32.5888702,-85.39627689999999,1.942
AL,AL: Limestone County (01083),142.3,164.3,153.0,793,Mortality,457994,All Races,Male and Female,All Cancer Sites Combined,2013-2017,161.3,185.6,173.1, Limestone County (01083), Limestone County ,34.78000720000001,-86.9423801,1.53
AL,AL: Lowndes County (01085),168.3,239.1,201.2,139,Mortality,51873,All Races,Male and Female,All Cancer Sites Combined,2013-2017,225.3,316.4,268.0, Lowndes County (01085), Lowndes County ,32.221464,-86.6611083,2.012
AL,AL: Macon County (01087),172.0,223.5,196.3,251,Mortality,96855,All Races,Male and Female,All Cancer Sites Combined,2013-2017,228.1,293.3,259.2, Macon County (01087), Macon County ,32.3731182,-85.684578,1.963
AL,AL: Madison County (01089),150.7,161.9,156.2,3104,Mortality,1767915,All Races,Male and Female,All Cancer Sites Combined,2013-2017,169.5,181.9,175.6, Madison County (01089), Madison County ,34.72397309999999,-86.49965460000001,1.5619999999999998
AL,AL: Marengo County (01091),163.4,211.6,186.2,253,Mortality,98736,All Races,Male and Female,All Cancer Sites Combined,2013-2017,225.6,289.8,256.2, Marengo County (01091), Marengo County ,32.2459085,-87.77633329999999,1.8619999999999999
AL,AL: Marion County (01093),168.7,206.1,186.6,416,Mortality,150288,All Races,Male and Female,All Cancer Sites Combined,2013-2017,250.8,304.7,276.8, Marion County (01093), Marion County ,34.0441174,-87.77633329999999,1.8659999999999999
AL,AL: Marshall County (01095),169.8,192.2,180.7,1057,Mortality,473985,All Races,Male and Female,All Cancer Sites Combined,2013-2017,209.8,236.9,223.0, Marshall County (01095), Marshall County ,34.3652297,-86.3376761,1.807
AL,AL: Mobile County (01097),178.2,189.3,183.7,4458,Mortality,2073749,All Races,Male and Female,All Cancer Sites Combined,2013-2017,208.7,221.4,215.0, Mobile County (01097), Mobile County ,30.6082227,-88.24611829999999,1.837
AL,AL: Monroe County (01099),150.4,193.8,171.0,262,Mortality,108662,All Races,Male and Female,All Cancer Sites Combined,2013-2017,212.8,272.1,241.1, Monroe County (01099), Monroe County ,31.5119068,-87.460397,1.71
AL,AL: Montgomery County (01101),165.4,180.3,172.8,2164,Mortality,1137114,All Races,Male and Female,All Cancer Sites Combined,2013-2017,182.4,198.5,190.3, Montgomery County (01101), Montgomery County ,32.2077447,-86.17517590000001,1.7280000000000002
AL,AL: Morgan County (01103),163.6,182.9,173.1,1297,Mortality,596094,All Races,Male and Female,All Cancer Sites Combined,2013-2017,205.9,229.8,217.6, Morgan County (01103), Morgan County ,34.4240875,-86.86218269999999,1.7309999999999999
AL,AL: Perry County (01105),145.7,216.4,178.3,113,Mortality,48294,All Races,Male and Female,All Cancer Sites Combined,2013-2017,192.8,281.3,234.0, Perry County (01105), Perry County ,32.598888,-87.30161319999999,1.7830000000000001
AL,AL: Pickens County (01107),132.7,175.3,152.8,214,Mortality,100855,All Races,Male and Female,All Cancer Sites Combined,2013-2017,184.7,242.6,212.2, Pickens County (01107), Pickens County ,33.3339954,-88.0900762,1.528
AL,AL: Pike County (01109),174.3,217.1,194.8,343,Mortality,167388,All Races,Male and Female,All Cancer Sites Combined,2013-2017,183.8,227.8,204.9, Pike County (01109), Pike County ,31.8395163,-86.0121573,1.9480000000000002
AL,AL: Randolph County (01111),161.0,204.9,181.9,293,Mortality,112692,All Races,Male and Female,All Cancer Sites Combined,2013-2017,231.1,291.5,260.0, Randolph County (01111), Randolph County ,33.2681523,-85.52002399999999,1.819
AL,AL: Russell County (01113),184.0,216.6,199.8,614,Mortality,292417,All Races,Male and Female,All Cancer Sites Combined,2013-2017,193.7,227.3,210.0, Russell County (01113), Russell County ,32.3552497,-85.1894045,1.9980000000000002
AL,AL: Shelby County (01117),125.8,139.8,132.6,1468,Mortality,1044707,All Races,Male and Female,All Cancer Sites Combined,2013-2017,133.4,147.9,140.5, Shelby County (01117), Shelby County ,33.3039292,-86.6611083,1.3259999999999998
AL,AL: St. Clair County (01115),171.8,196.1,183.6,940,Mortality,433645,All Races,Male and Female,All Cancer Sites Combined,2013-2017,203.1,231.1,216.8, St. Clair County (01115), St. Clair County ,33.6530112,-86.3376761,1.8359999999999999
AL,AL: Sumter County (01119),140.5,200.3,168.2,140,Mortality,65631,All Races,Male and Female,All Cancer Sites Combined,2013-2017,179.4,251.7,213.3, Sumter County (01119), Sumter County ,32.6155551,-88.24611829999999,1.682
AL,AL: Talladega County (01121),177.4,202.0,189.4,976,Mortality,404508,All Races,Male and Female,All Cancer Sites Combined,2013-2017,226.4,256.9,241.3, Talladega County (01121), Talladega County ,33.4231716,-86.1344697,1.8940000000000001
AL,AL: Tallapoosa County (01123),172.4,205.7,188.5,548,Mortality,203709,All Races,Male and Female,All Cancer Sites Combined,2013-2017,247.0,292.5,269.0, Tallapoosa County (01123), Tallapoosa County ,32.9201244,-85.84862360000001,1.885
AL,AL: Tuscaloosa County (01125),153.9,170.1,161.9,1617,Mortality,1023240,All Races,Male and Female,All Cancer Sites Combined,2013-2017,150.4,165.9,158.0, Tuscaloosa County (01125), Tuscaloosa County ,33.3227653,-87.460397,1.619
AL,AL: Walker County (01127),205.4,234.0,219.3,971,Mortality,324520,All Races,Male and Female,All Cancer Sites Combined,2013-2017,280.7,318.6,299.2, Walker County (01127), Walker County ,33.8563605,-87.30161319999999,2.193
AL,AL: Washington County (01129),185.6,243.1,212.8,232,Mortality,83735,All Races,Male and Female,All Cancer Sites Combined,2013-2017,242.6,315.1,277.1, Washington County (01129), Washington County ,31.3422346,-88.24611829999999,2.128
AL,AL: Wilcox County (01131),172.7,242.1,205.0,149,Mortality,54571,All Races,Male and Female,All Cancer Sites Combined,2013-2017,231.0,320.6,273.0, Wilcox County (01131), Wilcox County ,32.0105439,-87.3413599,2.05
AL,AL: Winston County (01133),141.4,180.1,159.7,285,Mortality,119903,All Races,Male and Female,All Cancer Sites Combined,2013-2017,210.9,267.0,237.7, Winston County (01133), Winston County ,34.1690087,-87.3413599,1.597
AR,AR: Arkansas County (05001),171.5,222.7,195.7,247,Mortality,91604,All Races,Male and Female,All Cancer Sites Combined,2013-2017,237.1,305.4,269.6, Arkansas County (05001), Arkansas County ,34.2354138,-91.28910359999999,1.9569999999999999
AR,AR: Ashley County (05003),188.7,238.4,212.4,304,Mortality,103919,All Races,Male and Female,All Cancer Sites Combined,2013-2017,260.6,327.3,292.5, Ashley County (05003), Ashley County ,33.1565939,-91.7538817,2.124
AR,AR: Baxter County (05005),173.8,202.9,187.8,782,Mortality,205459,All Races,Male and Female,All Cancer Sites Combined,2013-2017,354.4,408.2,380.6, Baxter County (05005), Baxter County ,36.3261815,-92.38136209999999,1.8780000000000001
AR,AR: Benton County (05007),150.2,164.1,157.0,2009,Mortality,1261778,All Races,Male and Female,All Cancer Sites Combined,2013-2017,152.3,166.3,159.2, Benton County (05007), Benton County ,36.2661518,-94.479976,1.57
AR,AR: Boone County (05009),167.8,201.9,184.2,489,Mortality,186272,All Races,Male and Female,All Cancer Sites Combined,2013-2017,239.8,286.9,262.5, Boone County (05009), Boone County ,36.3118662,-93.0175712,1.8419999999999999
AR,AR: Bradley County (05011),177.1,244.4,208.5,162,Mortality,54972,All Races,Male and Female,All Cancer Sites Combined,2013-2017,251.1,343.7,294.7, Bradley County (05011), Bradley County ,33.5081368,-92.2236667,2.085
AR,AR: Calhoun County (05013),196.0,301.9,244.0,94,Mortality,25928,All Races,Male and Female,All Cancer Sites Combined,2013-2017,293.0,443.7,362.5, Calhoun County (05013), Calhoun County ,33.5020885,-92.539603,2.44
AR,AR: Carroll County (05015),143.8,179.7,160.9,346,Mortality,139002,All Races,Male and Female,All Cancer Sites Combined,2013-2017,223.4,276.6,248.9, Carroll County (05015), Carroll County ,36.2987495,-93.5003454,1.609
AR,AR: Chicot County (05017),199.2,269.3,232.0,190,Mortality,55053,All Races,Male and Female,All Cancer Sites Combined,2013-2017,297.8,397.8,345.1, Chicot County (05017), Chicot County ,33.3419551,-91.28910359999999,2.32
AR,AR: Clark County (05019),148.2,194.6,170.1,226,Mortality,112450,All Races,Male and Female,All Cancer Sites Combined,2013-2017,175.6,229.0,201.0, Clark County (05019), Clark County ,34.0232374,-93.17796589999999,1.7009999999999998
AR,AR: Clay County (05021),218.8,278.2,246.9,289,Mortality,75940,All Races,Male and Female,All Cancer Sites Combined,2013-2017,337.9,427.1,380.6, Clay County (05021), Clay County ,36.3492244,-90.37483540000001,2.469
AR,AR: Cleburne County (05023),163.4,200.8,181.2,415,Mortality,126827,All Races,Male and Female,All Cancer Sites Combined,2013-2017,296.5,360.3,327.2, Cleburne County (05023), Cleburne County ,35.4605769,-92.0665197,1.8119999999999998
AR,AR: Cleveland County (05025),151.5,225.2,185.3,110,Mortality,41627,All Races,Male and Female,All Cancer Sites Combined,2013-2017,217.2,318.5,264.3, Cleveland County (05025), Cleveland County ,33.86580070000001,-92.2236667,1.8530000000000002
AR,AR: Columbia County (05027),156.7,201.0,177.7,269,Mortality,120203,All Races,Male and Female,All Cancer Sites Combined,2013-2017,197.8,252.2,223.8, Columbia County (05027), Columbia County ,33.1285176,-93.17796589999999,1.777
AR,AR: Conway County (05029),163.8,209.7,185.6,276,Mortality,104725,All Races,Male and Female,All Cancer Sites Combined,2013-2017,233.4,296.5,263.5, Conway County (05029), Conway County ,35.2727492,-92.6983868,1.8559999999999999
AR,AR: Craighead County (05031),165.3,188.3,176.5,945,Mortality,521591,All Races,Male and Female,All Cancer Sites Combined,2013-2017,169.8,193.1,181.2, Craighead County (05031), Craighead County ,35.8260959,-90.6773046,1.765
AR,AR: Crawford County (05033),174.8,203.5,188.7,704,Mortality,310632,All Races,Male and Female,All Cancer Sites Combined,2013-2017,210.2,244.0,226.6, Crawford County (05033), Crawford County ,35.5762761,-94.315422,1.8869999999999998
AR,AR: Crittenden County (05035),210.1,248.3,228.6,589,Mortality,246470,All Races,Male and Female,All Cancer Sites Combined,2013-2017,220.1,259.1,239.0, Crittenden County (05035), Crittenden County ,35.3021443,-90.37483540000001,2.286
AR,AR: Cross County (05037),207.2,266.3,235.2,264,Mortality,85836,All Races,Male and Female,All Cancer Sites Combined,2013-2017,271.6,347.0,307.6, Cross County (05037), Cross County ,35.2998913,-90.8294002,2.352
AR,AR: Dallas County (05039),186.2,270.7,225.1,128,Mortality,37871,All Races,Male and Female,All Cancer Sites Combined,2013-2017,282.0,401.9,338.0, Dallas County (05039), Dallas County ,34.0346533,-92.6983868,2.251
AR,AR: Desha County (05041),127.7,184.7,154.0,126,Mortality,60423,All Races,Male and Female,All Cancer Sites Combined,2013-2017,173.7,248.3,208.5, Desha County (05041), Desha County ,33.8773585,-91.44346900000001,1.54
AR,AR: Drew County (05043),169.8,223.4,195.2,223,Mortality,92865,All Races,Male and Female,All Cancer Sites Combined,2013-2017,209.6,273.8,240.1, Drew County (05043), Drew County ,33.5156463,-91.7538817,1.952
